chat_id,name,created_at
308824742,Name,2023-02-11 18:11:14.549264
308824742,Name,2023-02-11 18:11:28.668543
308824742,Hello,2023-02-11 18:13:38.445169
308824742,Name,2023-02-11 18:13:55.886459
308824742,Name,2023-02-11 18:17:13.041135
308824742,Name,2023-02-11 18:18:08.211958
308824742,Ok,2023-02-11 18:18:14.205070
308824742,Bunyod,2023-02-11 18:18:20.385664
308824742,Ok,2023-02-11 18:19:58.330261
308824742,Hello,2023-02-12 18:27:30.482793
308824742,No,2023-02-12 18:44:38.349509
308824742,999999,2023-02-12 19:11:35.188625
308824742,Last,2023-02-13 05:47:02.042648
308824742,J,2023-02-13 06:37:05.985349
308824742,Name,2023-02-13 08:02:09.425697
308824742,Last,2023-02-13 08:17:09.451172
308824742,Ok,2023-02-13 09:28:33.249064
308824742,Last,2023-02-13 09:29:22.527042
308824742,/weather,2023-02-13 11:21:57.947293
308824742,Xorosho,2023-02-13 11:55:30.381440
308824742,/weather,2023-02-13 12:55:37.546044
308824742,/weather,2023-02-13 12:55:41.273609
308824742,/weather,2023-02-13 13:14:10.464880
308824742,/weather,2023-02-13 13:17:58.870368
308824742,/weather,2023-02-13 13:18:17.621579
